Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI
RM98LBS6,journalArticle,2017,"Delaney, Aimée X.; Wells, Melissa",Polyvictimization experiences and depression among youth living in foster care,Criminal Justice Review,,0734-0168,10.1177/0734016817704699
36R5HTK7,journalArticle,2017,"Holmes, Megan R.; Yoon, Susan; Berg, Kristen A.; Cage, Jamie L.; Perzynski, Adam T.",Promoting the development of resilient academic functioning in maltreated children,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.07.018
5JUCULXW,journalArticle,2017,"Font, Sarah A.; Cage, Jamie",Dimensions of physical punishment and their associations with children's cognitive performance and school adjustment,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.06.008
QXUNZVB3,journalArticle,2017,"Barboza, Gia Elise; Dominguez, Silvia; Pinder, Jyda",Trajectories of post-traumatic stress and externalizing psychopathology among maltreated foster care youth: A parallel process latent growth curve model,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.09.007
REUCCSZQ,journalArticle,2017,"Yoon, Susan",Child maltreatment characteristics as predictors of heterogeneity in internalizing symptom trajectories among children in the child welfare system,Child Abuse & Neglect,,0145-2134,10.1016/j.chiabu.2017.08.022
THDG3NM9,journalArticle,2017,"Jonson-Reid, Melissa; Drake, Brett; Kohl, Patricia; Guo, Shenyang; Brown, Derek; McBride, Timothy; Kim, Hyunil; Lewis, Ericka",What do we really know about usual care child protective services?,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.09.019
I4HTSYG7,journalArticle,,"Piper, Kathryn A.",Differential response in child protection: how much is too much?,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.09.014
3RBIFWXQ,journalArticle,,"Ho, Grace W.K.; Bettencourt, Amie; Gross, Deborah A.",Reporting and identifying child physical abuse: How well are we doing?,Research in Nursing & Health,,1098-240X,10.1002/nur.21818
7D26BBSW,journalArticle,2017,"Christ, Sharon L.; Kwak, Y; Lu, T",Adolescents’ experience of parental psychological caregiving and neglect: Construct development.,American Journal of Orthopsychiatry,,,10.1037/ort0000206
7PSZDW2J,journalArticle,2017,"Griffiths, Austin; Murphy, April L.; Harper, Whitney",Child sexual abuse and the impact or ruality on foster care outccomes: An exploratory analysis,Child Welfare,,,
GNTGYCIL,journalArticle,2017,"Miller, Elizabeth A.; Paschall, Katherine W.; Azar, Sandra T.",Latent classes of older foster youth: Prospective associations with outcomes and exits from the foster care system during the transition to adulthood,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.06.047
HV7W6PT4,journalArticle,2017,"Sattler, Kierra M.P.; Font, Sarah A.",Resilience in young children involved with child protective services,Child Abuse & Neglect,,1452134,10.1016/j.chiabu.2017.05.004
D87WD63W,journalArticle,2017,"Hayduk, Iryna",The effect of kinship placement laws on foster children’s well-being,The B.E. Journal of Economic Analysis & Policy,,2194-6108,10.1515/bejeap-2016-0196
2QHUG4FU,journalArticle,2017,"Kahn, Nicholas E.; Gupta-Kagan, Josh; Eschelbach Hansen, Mary",The standard of proof in the substantiation of child abuse and neglect,Journal of Empirical Legal Studies,,1740-1461,10.1111/jels.12149
V2CP9NI5,journalArticle,2017,"Oshri, Assaf; Topple, Trasie A.; Carlson, Matthew W.",Positive youth development and resilience: growth patterns of social skills among youth investigated for maltreatment,Child Development,,1467-8624,10.1111/cdev.12865
NRRN75SC,journalArticle,2017,"Biehl, Amelia M.; Hill, Brian",Foster care and the earned income tax credit,Review of Economics of the Household,,"1569-5239, 1573-7152",10.1007/s11150-017-9381-1
7RKYT8CX,journalArticle,2017,"Barboza, Gia Elise; Dominguez, Silvia","Longitudinal growth of post-traumatic stress and depressive symptoms following a child maltreatment allegation: An examination of violence exposure, family risk and placement type",Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2017.08.029
D2T2GX3G,journalArticle,2017,"Raissian, Kerri M.; Bullinger, Lindsey Rose",Money matters: Does the minimum wage affect child maltreatment rates?,Children and Youth Services Review,,0190-7409,10.1016/j.childyouth.2016.09.033
