Publication Title,Publication Year,Journal Impact Factor
Social Problems,2016,1.684
Social Problems,2015,1.291
Social Problems,2014,1.729
Social Problems,2013,1.36
Social Problems,2012,1.782
Social Problems,2011,1.226
Social Problems,2010,1.627
Social Problems,2009,1.698
Social Problems,2008,2.059
Social Problems,2007,1.577
Social Problems,2006,1.518
Social Problems,2005,1.796
Social Problems,2004,1.778
Social Problems,2003,0.5
Social Problems,2002,1.097
Social Problems,2001,1
Social Problems,2000,1.085
Social Problems,1999,1.246
Social Problems,1998,0.889
Social Problems,1997,1.038
Children and Youth Services Review,2016,1.226
Children and Youth Services Review,2015,0.969
Children and Youth Services Review,2014,1.105
Children and Youth Services Review,2013,1.046
Children and Youth Services Review,2012,1.006
Children and Youth Services Review,2011,1.269
Children and Youth Services Review,2010,1.13
Children and Youth Services Review,2009,1.166
Children and Youth Services Review,2008,0.776
Children and Youth Services Review,2007,0.908
Children and Youth Services Review,2006,0.963
Children and Youth Services Review,2005,0.664
Children and Youth Services Review,2004,0.765
Children and Youth Services Review,2003,0.429
Children and Youth Services Review,2002,0.475
Children and Youth Services Review,2001,0.405
Children and Youth Services Review,2000,0.338
Children and Youth Services Review,1999,0.284
Children and Youth Services Review,1998,0.422
Children and Youth Services Review,1997,0.53
Youth and Society,2016,1.608
Youth and Society,2015,1.418
Youth and Society,2014,1.722
Youth and Society,2013,1.211
Youth and Society,2012,0.897
Youth and Society,2011,1.816
Youth and Society,2010,1.058
Youth and Society,2009,1
Youth and Society,2008,0.9
Youth and Society,2007,1.056
Youth and Society,2006,0.895
Youth and Society,2005,0.725
Youth and Society,2004,0.421
Youth and Society,2003,0.476
Youth and Society,2002,0.318
Youth and Society,2001,0.39
Youth and Society,2000,0.395
Youth and Society,1999,0.919
Youth and Society,1998,0.725
Youth and Society,1997,0.317
The Social Science Journal,2016,0.715
The Social Science Journal,2015,0.807
The Social Science Journal,2014,0.606
The Social Science Journal,2013,0.483
The Social Science Journal,2012,0.395
The Social Science Journal,2011,0.358
The Social Science Journal,2010,0.316
The Social Science Journal,2009,0.253
The Social Science Journal,2008,0.223
The Social Science Journal,2007,0.193
The Social Science Journal,2006,0.19
The Social Science Journal,2005,0.136
The Social Science Journal,2004,0.13
The Social Science Journal,2003,0.172
The Social Science Journal,2002,0.121
The Social Science Journal,2001,0.073
The Social Science Journal,2000,0.14
The Social Science Journal,1999,0.174
The Social Science Journal,1998,0.085
The Social Science Journal,1997,0.131
Violence and Victims,2016,0.75
Violence and Victims,2015,0.788
Violence and Victims,2014,0.858
Violence and Victims,2013,0.588
Violence and Victims,2012,0.981
Violence and Victims,2011,1.283
Violence and Victims,2010,0.931
"Trauma, Violence, and Abuse",2016,3.542
"Trauma, Violence, and Abuse",2015,3.191
"Trauma, Violence, and Abuse",2014,2.676
"Trauma, Violence, and Abuse",2013,2.939
"Trauma, Violence, and Abuse",2012,2.4
